run,position,segment,input_id,input_token,input_decoded,attention_mask,label_id,label_token,label_decoded,supervised,span_id,span_name
rq3_qwen2vl_answer_only_scienceqa,0,image+prompt masked,151652,<|vision_start|>,<|vision_start|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,1,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,2,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,3,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,4,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,5,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,6,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,7,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,8,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,9,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,10,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,11,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,12,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,13,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,14,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,15,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,16,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,17,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,18,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,19,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,20,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,21,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,22,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,23,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,24,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
rq3_qwen2vl_answer_only_scienceqa,25,image+prompt masked,151655,<|image_pad|>,<|image_pad|>,1,-100,IGNORE,,False,0,ignore
